Index,SPY,TLT,GLD,VXX,DBC
2010-07-12,87.2666334584,74.3573365987,117.34,25845.76,21.1102126429
2010-07-13,88.5833474502,73.7200736817,118.36,25600,21.4502298737
2010-07-14,88.5752694503,74.4622975498,118.3,26552.32,21.4113707616
2010-07-15,88.5995034501,75.2045214178,118.23,26316.8,21.6153811
2010-07-16,86.1599474653,75.5718847465,116.67,28026.88,21.3433673154
2010-07-19,86.6688614621,75.1070576776,115.73,27166.72,21.3239377594
2010-07-20,87.6301434562,75.2195158394,116.65,25774.08,21.4988037638
2010-07-21,86.4911454632,76.4940416734,115.85,26009.6,21.4405150956
2010-07-22,88.4217874512,75.6093708004,116.863,24647.68,21.8679653286
2010-07-23,89.1891974465,74.8071692461,116.09,24217.6,21.7999618825
2010-07-26,90.1181674407,74.6797166626,115.52,23367.68,21.7805323264
2010-07-27,90.1100894408,73.959984427,113.51,23183.36,21.5473776539
2010-07-28,89.5284734444,74.1998951722,113.78,23418.88,21.6348106561
2010-07-29,89.0922614471,74.1774035398,114.288,23377.92,21.9456835528
